slug,category,title,description,complexity,zip_mb,preview_image
bg-4,background-animation,Purple Light Bars,"Vertical purple light curtains pulse and shift across a dark stage, a vibrant backdrop for events, music, and nightlife sites.",medium,,
bg-5,background-animation,Flowing Contour Lines,"Smooth topographic line waves ripple across a slate background, an elegant animated backdrop for tech and portfolio heroes.",medium,,
bg-6,background-animation,Liquid Marble Swirl,"Black-and-white molten marble swirls flow continuously, a bold high-contrast backdrop for fashion and editorial landing pages.",medium,,
bg-7,background-animation,Drifting Particle Field,"Fine particles drift slowly across a black canvas like distant snow, a subtle backdrop that adds depth without distraction.",simple,,
bg-8,background-animation,Smoky Fog Noise,"Soft monochrome fog clouds churn across a dark stage, an atmospheric backdrop for cinematic and moody hero sections.",medium,,
bg-9,background-animation,Green Halftone Grid,"A grid of green glyph-like tiles ripples to reveal shapes, a retro-terminal backdrop for developer and cyber-themed sites.",medium,,
bg-10,background-animation,Dot Wave Field,"A field of dots undulates in a flowing wave across a clean white canvas, a crisp interactive backdrop for modern heroes.",medium,,
grid-1,grid-animation,Editorial Photo Grid,"A dense grid of warm-toned fashion portraits animates on scroll, a striking gallery for photographers and editorial portfolios.",medium,,
grid-2,grid-animation,Floating Music Cards,"Now-playing cards with album art scatter and drift across a white canvas, a lively layout for music and playlist products.",medium,,
grid-3,grid-animation,Sculpture Art Grid,"Red-and-black sculptural artworks tile into a labelled gallery grid, a dramatic showcase for art collections and exhibitions.",medium,,
grid-4,grid-animation,Product Moodboard Grid,"Mixed product shots and a feature chair arrange into an editorial moodboard grid, ideal for furniture and lifestyle stores.",medium,,
grid-5,grid-animation,Layered Panel Reveal,"Stacked red panels slide apart to reveal a fashion portrait, a bold layered transition for lookbooks and hero sections.",medium,,
grid-6,grid-animation,Add To Cart Trail,"A sneaker image flies into a stacked trail as it drops into the cart, a delightful add-to-cart micro-flow for storefronts.",complex,,
grid-7,grid-animation,Shadowplay Photo Grid,"Moody light-and-shadow photos tile into a dark gallery grid, an atmospheric showcase for photography and editorial sites.",medium,,
grid-8,grid-animation,Scattered Image Hero,"Cloud-like image tiles float at varied sizes behind a large headline, a cinematic scroll hero for creative studios.",medium,,
grid-9,grid-animation,Colorful Masonry Grid,"Bright pastel photos fill a playful masonry grid, a cheerful gallery layout for lifestyle, design, and inspiration sites.",medium,,
grid-10,grid-animation,Diagonal Image Trail,"Dark image tiles cascade in a diagonal trail across black, a moody scroll-driven gallery for cinematic portfolios.",medium,,
hero-1,hero-animation,Split Text Image Hero,"A sunset beach image sits inside an oversized wordmark split across the screen, a clean editorial hero for lifestyle brands.",medium,,
hero-2,hero-animation,Fashion Cover Hero,"A bold red headline overlaps a studio fashion portrait, a magazine-style hero for lookbooks and fashion archives.",medium,,
hero-3,hero-animation,Nature Strip Reveal,"Panoramic nature strips stack and slide into place on load, a serene layered hero for travel and outdoor brands.",medium,,
hero-4,hero-animation,Cinematic Interior Hero,"A muted interior video plays behind a centered wordmark and tagline, a premium hero for studios and luxury brands.",medium,,
hero-5,hero-animation,Minimal Intro Hero,"A single tiny label sits in vast black space before content reveals, an ultra-minimal intro for high-end portfolios.",simple,,
hero-6,hero-animation,Page Reveal Intro,"Split blocks and staggered letters animate apart to reveal the page, an award-style entrance transition for any site.",complex,,
hero-7,hero-animation,Product Showcase Hero,"A desert dwelling pod renders behind a large wordmark and tagline, an immersive hero for architecture and product launches.",medium,,
hero-9,hero-animation,Classic Art Type Hero,"A giant serif wordmark overlays a baroque oil painting, a refined art-meets-type hero for galleries and editorial brands.",medium,,
hero-11,hero-animation,Radial People Loader,"Cut-out figures rotate in a flower formation around a center point, a distinctive intro loader for agencies and teams.",medium,,
hero-12,hero-animation,Avatar Wall Hero,"Circular profile photos scatter across a repeating campaign headline, a social, community-flavored hero for launches.",medium,,
hero-14,hero-animation,Tilted Image Wall,"Fantasy landscape tiles tilt into a perspective wall you explore on scroll, a dreamy hero for creative and 3D showcases.",complex,,
hero-15,hero-animation,Layered Name Reveal,"A name repeats in receding layers over a portrait as a percentage loads, a stylish preloader-to-hero transition.",medium,,
hero-16,hero-animation,Circular Text Spinner,"Concentric rings of text rotate around a glowing core, a hypnotic kinetic-typography hero for experimental brands.",complex,,
hero-19,hero-animation,Soft Blur Fashion Hero,"A fashion portrait resolves from a soft motion blur on a warm backdrop, an elegant hero for apparel and beauty brands.",medium,,
hero-20,hero-animation,Marquee Text Bands,"Bold wordmark rows scroll in alternating black-and-white bands, a high-energy marquee hero for streetwear and music.",simple,,
hero-21,hero-animation,Scattered Thumbnail Hero,"Small project thumbnails scatter across a light canvas and react to the cursor, a minimal hero for studio portfolios.",medium,,
hero-22,hero-animation,Tilted Card Row,"A row of tilted image cards drifts and rights itself on hover, a playful coverflow hero for products and galleries.",medium,,
hero-23,hero-animation,Split Wordmark Hero,"A two-part wordmark frames a small central product image, a tidy branded hero for studios and personal sites.",simple,,
hero-24,hero-animation,Film Credits Hero,"A portrait grid sits between credit-style column lists of projects and locations, a cinematic hero for directories and studios.",medium,,
hero-25,hero-animation,Glitch WebGL Loader,"A blue glitch blob distorts around a loader label before revealing content, an edgy WebGL preloader for creative sites.",complex,,
hero-26,hero-animation,Polaroid Stack Hero,"A bold wordmark overlaps a scattered polaroid stack, a punchy editorial hero for fashion drops and zines.",medium,,
hover-1,hover-effect,Studio Portfolio Hover,"A bold studio layout reveals project previews as you hover each block, a confident portfolio landing for design agencies.",medium,,
hover-2,hover-effect,Kinetic Contact Card,"Designer contact details animate with shuffling phone digits and links, a characterful about-and-contact block for portfolios.",medium,,
hover-3,hover-effect,Pixel Block Reveal,"An image resolves through animated pixel blocks that clear on hover, a tactile reveal effect for galleries and cards.",complex,,
hover-4,hover-effect,List Image Hover,"Hovering a city or project row slides an image through the line, a clean interactive list for indexes and menus.",medium,,
hover-5,hover-effect,3D Letter Menu Hover,"Oversized word links pop a tilted image card into view on hover, an expressive navigation hero for creative sites.",complex,,
hover-6,hover-effect,Card Letter Scatter,"Scattered letters assemble around portrait cards as you hover, a poetic interactive gallery for editorial portfolios.",complex,,
hover-7,hover-effect,Oval Portrait Hover,"Oval portrait frames animate above a large name on hover, an elegant intro block for photographers and creatives.",medium,,
hover-8,hover-effect,Word Reveal Hover,"A field of indexed words reveals a portrait card on hover with one word accented, a stylish interactive word cloud.",medium,,
hover-9,hover-effect,Gooey Text Hover,"Bold words melt into gooey liquid distortion as the cursor passes, a striking kinetic-type effect for bold brands.",complex,,
hover-10,hover-effect,Glitch Slice Hover,"A portrait tears into RGB glitch slices on hover, an edgy image effect for music, fashion, and experimental sites.",complex,,
hover-11,hover-effect,Name Slice Reveal,"Hovering a name in the list wipes a vertical image slice across it, a refined interactive credits or roster list.",medium,,
hover-13,hover-effect,Particle Text Disperse,"Dotted particle text scatters and reforms around the cursor, a mesmerizing canvas headline for tech and creative heroes.",complex,,
hover-15,hover-effect,Tagged Card Hover,"A photo card floats above bold type with tag chips that react on hover, a punchy showcase block for editorial sites.",medium,,
hover-16,hover-effect,Text Image Orbit,"Thumbnails orbit an agency paragraph and surface on hover, an atmospheric about section for studios and agencies.",medium,,
hover-17,hover-effect,Liquid Reveal Portrait,"A liquid-metal blob morphs to reveal a portrait on hover, a slick personal hero for freelancers and designers.",complex,,
hover-18,hover-effect,Marquee Avatar Hover,"Distorted marquee type pairs with a row of avatar thumbnails that expand on hover, a bold directory or team header.",medium,,
hover-19,hover-effect,Fanned Card Hover,"Colorful work cards fan out and separate on hover beneath a big name, a friendly hero for illustrators and animators.",medium,,
hover-20,hover-effect,Menu Art Reveal,"Menu items reveal a low-poly artwork on hover against a soft canvas, a quiet, gallery-like navigation for portfolios.",medium,,
menu-1,navigation-menu,Particle Statue Menu,"A particle-rendered equestrian statue anchors a dark hero with a corner menu toggle, a bold nav intro for creative brands.",complex,,
menu-2,navigation-menu,Slide-In Panel Menu,"A bright panel slides in with large nav links and social rows, a clean fullscreen overlay menu for modern sites.",medium,,
menu-3,navigation-menu,Curved Slide Menu,"A side panel curves in with stacked nav links on a dark stage, a smooth off-canvas menu for portfolios and studios.",medium,,
menu-4,navigation-menu,Fullscreen Overlay Menu,"Oversized nav words fill a fullscreen overlay beside a product image, an editorial menu for shops and lookbooks.",medium,,
menu-5,navigation-menu,Marquee Bar Menu,"Neon marquee bars scroll behind stacked nav links in a dark overlay, an energetic fullscreen menu for agencies.",medium,,
menu-7,navigation-menu,Serif Ripple Menu,"Elegant serif nav pairs with a rippling sphere on a soft canvas, a refined minimal menu for editorial brands.",medium,,
menu-8,navigation-menu,Expanding List Menu,"Product names expand to preview an image as you browse the list, a sleek catalog menu for sneaker and product stores.",medium,,
menu-9,navigation-menu,Bold Stacked Menu,"Rounded bold nav items stack with playful icons on a dark panel, a confident overlay menu for creative portfolios.",medium,,
menu-10,navigation-menu,Hamburger Reveal Menu,"A bold italic hero pairs with a corner toggle that reveals the menu, a tidy nav pattern for studios and agencies.",medium,,
menu-11,navigation-menu,Big Type Nav,"A giant wordmark sits under a minimal bar with an accented menu button, a bold, spacious header for brand sites.",simple,,
menu-12,navigation-menu,Scrolling Word Grid Menu,"Nav words repeat and scroll across a grid overlay around a center logo, a kinetic fullscreen menu for bold studios.",complex,,
menu-14,navigation-menu,Pixel Scatter Menu,"Scattered pixel squares animate around centered nav links, a distinctive black-and-white overlay menu for portfolios.",medium,,
menu-16,navigation-menu,Noir Editorial Menu,"An oversized dark editorial hero pairs with a glowing sphere and menu toggle, a moody nav layout for premium brands.",medium,,
menu-20,navigation-menu,Agency Card Menu,"A clean agency hero sits above hover-reactive project cards with a corner menu, a polished header for studio sites.",medium,,
mouse-1,mouse-effect,Cursor Image Follow,"An image glides between list rows following the cursor, a refined interactive index for directories and rosters.",medium,,
mouse-2,mouse-effect,Trailing Image Cursor,"A photo trails the pointer above a large name pairing, a stylish interactive intro for photographers and duos.",medium,,
mouse-3,mouse-effect,Blob Cursor Mask,"A red blob follows the cursor and masks alternate text beneath it, a playful reveal effect for about statements.",complex,,
mouse-4,mouse-effect,Spotlight Fog Reveal,"A cursor spotlight reveals glowing faces hidden in blue fog, an eerie interactive scene for immersive storytelling.",complex,,
mouse-6,mouse-effect,Brush Scribble Trail,"A white brush scribble follows the cursor over a developer intro, a raw, expressive pointer trail for portfolios.",medium,,
mouse-7,mouse-effect,Rainbow Blob Trail,"Rounded rainbow blobs stream behind the cursor across bold type, a vivid interactive headline for creative studios.",complex,,
mouse-8,mouse-effect,Pixel Trail Cursor,"Monochrome pixel squares trail the pointer over a bold statement, a crisp minimal cursor effect for modern sites.",medium,,
mouse-9,mouse-effect,Image Fan Trail,"A fan of image cards streams from the cursor across a wordmark, an energetic showreel intro for galleries and studios.",complex,,
mouse-10,mouse-effect,Flashlight Reveal,"A cursor flashlight uncovers a graffiti-wall figure in the dark, a moody interactive reveal for narrative pages.",complex,,
mouse-11,mouse-effect,Fluid Plasma Cursor,"A glowing blue plasma fluid chases the pointer on black, a hypnotic WebGL cursor effect for experimental heroes.",complex,,
mouse-12,mouse-effect,Particle Smoke Cursor,"A burst of white smoke particles disperses from the cursor, a soft fluid-simulation pointer effect for creative sites.",complex,,
mouse-13,mouse-effect,Canvas Cursor Split,"A minimal canvas cursor draws across a split black-and-white stage, a clean interactive backdrop for bold portfolios.",medium,,
mouse-14,mouse-effect,Curly Cursor Trail,"A satisfying curly line unspools behind the pointer in lightweight vanilla canvas, a tiny delightful cursor for any page.",simple,,
mouse-15,mouse-effect,Shooting Star Trail,"A ring of star particles orbits and streaks after the cursor, a dreamy interactive night-sky effect for hero sections.",complex,,
mouse-16,mouse-effect,Image Shard Text,"Bold display letters fill with image shards as scattered words react to the cursor, a striking kinetic-type hero.",complex,,
mouse-17,mouse-effect,Liquid Wobble Text,"A wordmark warps in liquid wobble as the pointer passes, a fluid distortion effect for playful bold branding.",complex,,
mouse-18,mouse-effect,Liquid Ripple Cursor,"Caramel-yellow ripples radiate from the cursor around a logo, a rich tactile pointer effect for food and product sites.",complex,,
mouse-19,mouse-effect,Image Trail Headline,"Product images trail the cursor across a soft headline, an elegant interactive hero for lifestyle and design brands.",medium,,
mouse-20,mouse-effect,Ink Reveal Cursor,"The cursor brushes orange ink across halftone hands over a studio wordmark, a distinctive interactive agency hero.",complex,,
pagetr-1,page-transition,Smooth Page Transition,"Pages cross-fade and slide seamlessly between routes, a polished multi-page transition system for any modern site.",medium,,
pegetr-1,page-transition,Alternate Page Swap,"A data-sheet layout swaps to an alternate page behind giant type, a bold editorial page-transition for archives and catalogs.",medium,,
pegetr-3,page-transition,Angled Scene Transition,"A colorful illustrated scene slides in at an angle between routes, a playful page transition for storytelling and portfolios.",complex,,
pegetr-4,page-transition,Image-Fill Text Transition,"Words fill with nature imagery as the page transitions, a lush type-driven route change for editorial and brand sites.",complex,,
pegetr-6,page-transition,Block Wipe Transition,"Staircase blocks wipe across the screen to reveal the next page, a crisp geometric page transition for modern layouts.",medium,,
pegetr-8,page-transition,Spiral Wipe Transition,"A large spiral unwinds to cover and reveal pages, a distinctive shape-based transition for creative portfolios.",complex,,
pegetr-10,page-transition,Editorial Card Transition,"Portrait cards and running headlines slide in on an orange stage, a magazine-style page transition for editorial sites.",medium,,
pegetr-12,page-transition,Cinematic Page Transition,"A sci-fi observatory hero dissolves between routes, an atmospheric cinematic page transition for immersive brands.",complex,,
pegetr-13,page-transition,Corner Letter Transition,"Corner letters and project thumbnails slide as pages change, a refined studio page transition for portfolios.",medium,,
pegetr-14,page-transition,SVG Stroke Wipe,"A brushed SVG stroke sweeps across to mask the page change, an organic vector transition for expressive sites.",complex,,
pegetr-15,page-transition,Metallic Reveal Transition,"A dark metallic 3D hero morphs between routes, a premium page transition for science, tech, and product brands.",complex,,
pegetr-16,page-transition,Wave Sweep Transition,"A bold purple wave sweeps across the viewport between pages, a vibrant fluid page transition for playful brands.",medium,,
pegetr-17,page-transition,Planet Fade Transition,"A cinematic planet hero fades between routes with serif type, a dreamy page transition for editorial and portfolio sites.",medium,,
physic-1,physics-effect,Squishy Menu Physics,"A soft blob menu toggle wobbles with spring physics on a clean canvas, a tactile navigation accent for playful sites.",medium,,
physic-2,physics-effect,Draggable Rope Line,"A thin rope line sags and swings with physics beside tag chips, an interactive accent for studio and agency intros.",complex,,
physic-3,physics-effect,Falling Social Icons,"Social icons tumble and bounce with gravity on drop, a fun physics footer or contact section built with GSAP.",complex,,
physic-4,physics-effect,ASCII Particle Field,"A scene renders as drifting ASCII particles that react to motion, a retro-computed effect for experimental heroes.",complex,,
physic-5,physics-effect,Word Drop Physics,"Bold words tumble into a pile under gravity and reset on demand, a playful physics headline for creative studios.",complex,,
physic-6,physics-effect,Gravity Drop Physics,"Elements fall and settle with realistic gravity and collisions, a versatile physics sandbox for interactive sections.",complex,,
physic-7,physics-effect,Liquid Metaball Text,"Glowing pink metaballs merge and split beside a bold wordmark, a gooey physics effect for bold brand heroes.",complex,,
physic-8,physics-effect,Sphere Stacking Physics,"Glossy purple spheres pile and jostle with physics at the base, a satisfying interactive backdrop for product heroes.",complex,,
physic-9,physics-effect,Particle Flow Field,"Thousands of particles flow and swirl into shifting map-like forms, a mesmerizing simulation backdrop for tech sites.",complex,,
physic-10,physics-effect,Shattering Crystal Sphere,"A faceted crystal sphere breaks apart and reforms with physics, a premium interactive centerpiece for luxury brands.",complex,,
sliders-1,slider,Thumbnail Strip Slider,"A thumbnail strip drives a large image view above it, a clean gallery slider for photography and product showcases.",medium,,
sliders-2,slider,Fullscreen Fashion Slider,"Full-bleed portraits slide behind an overlaid wordmark, a bold immersive slider for fashion and lookbook sites.",medium,,
sliders-3,slider,Stacked Panorama Slider,"Panoramic landscape slides stack and advance on click, a cinematic slider for travel and outdoor storytelling.",medium,,
sliders-4,slider,Curved Warp Slider,"Images warp across a curved 3D surface between numbered slides, a striking WebGL slider for creative portfolios.",complex,,
sliders-5,slider,Cinematic Snow Slider,"Cinematic frames advance amid drifting snow particles, an atmospheric slider for film, music, and moody brands.",complex,,
sliders-7,slider,Scattered Photo Slider,"Tilted photos scatter and swap across the stage, a candid editorial slider for galleries and event recaps.",medium,,
sliders-9,slider,Curved Coverflow Slider,"Portrait panels curve into a 3D coverflow you page through, a hypnotic slider for fashion and portfolio heroes.",complex,,
sliders-10,slider,Drag Explore Slider,"Dark image panels reveal as you drag across the stage, an interactive drag slider for immersive storytelling.",medium,,
sliders-11,slider,Motion Blur Slider,"Portrait cards streak past with motion blur as they advance, a kinetic slider for bold editorial and agency sites.",medium,,
sliders-12,slider,Editorial Portrait Slider,"Tilted portrait cards page past oversized serif letters, a magazine-style slider for fashion and lookbook features.",medium,,
sliders-13,slider,Circle Mask Slider,"Images swap inside a circular mask with numbered demos, a tidy focal slider for portfolios and product tours.",medium,,
sliders-14,slider,Duotone Drag Slider,"A duotone frame warps as you drag between slides on a soft canvas, an edgy slider for music and creative brands.",medium,,
sliders-18,slider,Arched Fan Slider,"Image cards fan across an arch and shuffle through, a distinctive slider for studios and creative showcases.",complex,,
sliders-19,slider,Architecture Showcase Slider,"Architecture renders advance between named projects with side labels, a refined slider for studios and real estate.",medium,,
sliders-21,slider,Testimonial Card Slider,"Review cards slide through beside a bold call to action, a punchy testimonial carousel for apps and products.",medium,,
sliders-22,slider,Staggered Image Slider,"A staircase of images slides in a staggered grab-and-drag flow, an elegant slider for product and lifestyle heroes.",medium,,
svg-1,svg-animation,Liquid Drip Morph,"Gradient liquid shapes drip and morph across the viewport, a smooth SVG animation backdrop for playful hero sections.",medium,,
svg-2,svg-animation,Animated Rocket Icon,"A gradient rocket icon draws and animates its SVG paths on load, a crisp illustrated accent for launch and startup pages.",simple,,
svg-4,svg-animation,Animated Illustration Hero,"Illustrated cards and text animate in beside a bold wordmark, an expressive SVG-driven hero for editorial storytelling.",medium,,
svg-5,svg-animation,Curved Image Mask,"A portrait sits inside a curved SVG mask between elegant serif type, a refined hero framing for editorial and fashion.",medium,,
svg-6,svg-animation,Arched Image Bands,"Photos animate within arched SVG-clipped bands on scroll, a graceful gallery layout for lifestyle and craft brands.",medium,,
svg-7,svg-animation,Torn Mask Reveal,"An image reveals through a rough torn-edge SVG mask on black, a dramatic framing effect for cinematic hero sections.",medium,,
svg-10,svg-animation,Blob Shape Morph,"An organic blob morphs behind a wordmark beside a painted card, a soft SVG shape animation for creative portfolios.",medium,,
svg-11,svg-animation,Spiral Shape Field,"Colorful gradient shapes swirl into a spiral tunnel on black, a vibrant SVG animation backdrop for playful brands.",medium,,
svg-12,svg-animation,Text On Path,"Nav words curve and travel along an animated SVG path, a distinctive kinetic navigation for experimental sites.",medium,,
svg-13,svg-animation,Blob Highlight Text,"A green blob highlight sweeps across paragraph text above a bold headline, a lively SVG mask effect for editorial copy.",medium,,
text-1,text-animation,Pixel Glitch Text,"A wordmark flickers in blocky pixel glitches on black, a retro-computed text effect for experimental and music sites.",medium,,
text-2,text-animation,Radial Word Wheel,"Words radiate around a circle and rotate on a path, a poetic kinetic-typography centerpiece for editorial sites.",medium,,
text-3,text-animation,Scramble Decode Text,"Monospace lines scramble and decode into readable copy, a hacker-style text reveal for tech and product pages.",medium,,
text-4,text-animation,Glitch Type Text,"Paragraph text glitches and swaps characters as it settles, a gritty type effect for bold editorial and dev sites.",medium,,
text-5,text-animation,Melting Text Reveal,"Oversized words warp and melt into place on scroll, a striking kinetic headline for creative and fashion brands.",complex,,
text-6,text-animation,Variable Font Morph,"Letterforms morph through variable-font weights and ligatures, a smooth type animation for modern brand heroes.",medium,,
text-7,text-animation,Kinetic Text Sketch,"Letters animate as a generative creative-coding sketch, an experimental type backdrop for art and portfolio sites.",complex,,
text-8,text-animation,Liquid Distort Wordmark,"A bold wordmark warps in liquid distortion on a vivid stage, a punchy kinetic logo effect for bold branding.",complex,,
text-9,text-animation,Geometric Letter Morph,"Letters and geometric shapes morph between forms on black, a minimal kinetic-type accent for design-led sites.",medium,,
text-12,text-animation,Kinetic Stacked Text,"Stacked headline lines slide and stagger with the cursor, a lively kinetic-typography block for bold statements.",medium,,
text-13,text-animation,Contact List Reveal,"Contact rows reveal in sequence beside a morphing emoji, a characterful animated contact section for studios.",medium,,
text-16,text-animation,Scaling Statement Text,"Giant statement type frames a small paragraph and scales on scroll, a bold about hero for agencies and studios.",medium,,
text-17,text-animation,Minimal Text Reveal,"Copy reveals softly around a centered smoky image, a quiet minimal text animation for premium editorial sites.",simple,,
webgl-1,webgl-shader,Distorted Ink Text Shader,"A wordmark dissolves into inky shader distortion with red flecks over a start screen, a moody WebGL intro for dark brands.",complex,,
webgl-2,webgl-shader,Scroll Distortion Image,"An image ripples with shader distortion as you scroll past copy, a tactile WebGL effect for editorial and story pages.",complex,,
webgl-3,webgl-shader,Blob Mask Image Shader,"Destination images breathe inside organic blob masks under big serif type, a lush WebGL hero for travel and lifestyle.",complex,,
webgl-4,webgl-shader,Sticky Image Warp,"Images warp with a sticky WebGL bend as the pointer moves, a premium interactive showcase for product and art sites.",complex,,
webgl-5,webgl-shader,Image Mosaic Shader,"A grid of tiny tiles resolves into a larger picture on hover, a mesmerizing WebGL mosaic effect for galleries.",complex,,
webgl-6,webgl-shader,Holographic Chrome Shader,"A statue bust shimmers with iridescent chrome and glitch, a striking WebGL centerpiece for fashion and art brands.",complex,,
webgl-7,webgl-shader,Light Caustics Text,"Refracted light beams and caustics stream through a wordmark, a luminous WebGL text effect for premium heroes.",complex,,
webgl-8,webgl-shader,Gradient Glow Portrait,"Gradient type glows over a portrait with a soft shader haze, an atmospheric WebGL hero for music and creative sites.",complex,,
webgl-9,webgl-shader,Particle Dissolve Portrait,"A portrait scatters into drifting particles and reforms, a haunting WebGL image effect for cinematic hero sections.",complex,,
webgl-10,webgl-shader,Smoke Bleed Shader,"Wispy smoke bleeds out of a rounded frame on black, a minimal WebGL shader accent for dark, premium layouts.",complex,,
webgl-11,webgl-shader,Glossy Sphere Shader,"Striped glossy spheres warp and spin beside bold type, a vibrant WebGL centerpiece for music and product heroes.",complex,,
webgl-12,webgl-shader,Refraction Shard Shader,"A city scene refracts through a faceted glass shard, a dazzling WebGL image effect for nightlife and event sites.",complex,,
webgl-13,webgl-shader,Palette Silhouette Shader,"A silhouette shifts through a color palette on a bright canvas, a minimal generative shader hero for design studios.",medium,,
webgl-17,webgl-shader,Ink Bleed Reveal,"Liquid ink blobs bleed across a forest scene to reveal it, an organic WebGL transition for narrative and brand sites.",complex,,
webgl-18,webgl-shader,Motion Blur Shader,"A figure smears into motion-blur shader trails down a hall, a cinematic WebGL effect for moody film and music sites.",complex,,
